record_id,o_name,o_street,o_city,o_state,o_zip,s_name,s_street,s_city,s_state,s_zip,type
d-00798,Sarah Perez,5415 View,Whitfield,MS,39193,Sarah Martinez,9949 Third,Salem,AR,72576,distinct
d-00799,Joseph Diaz,9962 Elm,Rio,WV,26755,John Miller,8605 Park,Washington,DC,20066,distinct
d-00800,David Gonzales,2266 Second,Evansville,IN,47734,Karen Campbell,6763 Elm,Levittown,NY,11756,distinct
d-00801,Jessica Ramirez,12110 Eighth,Newark,OH,43093,Thomas Gray,9227 Seventh,Carson City,NV,89711,distinct
d-00802,Patricia Stewart,7644 First,Cincinnati,OH,45216,Sarah Reyes,17165 Third,Brecksville,OH,44141,distinct
d-00803,Thomas Bennet,13093 Eighth,Bath,NC,27808,Elizabeth Ruiz,3492 Park,DPO,NY,09827,distinct
d-00804,David Cook,19173 Seventh,Colorado Springs,CO,80912,Susan Taylor,10726 Third,Higganum,CT,06441,distinct
d-00805,Richard Evans,4716 Fourth,Hubbard,TX,76648,Karen Mitchell,3213 View,Mount Vernon,AR,72111,distinct
d-00806,Linda Hall,18480 Cedar,Gifford,SC,29923,Mary Evans,19982 Hill,Palestine,OH,45352,distinct
d-00807,Thomas Mendoza,13509 Lake,Mount Olive,IL,62069,Charles Torres,289 Fourth,Chicago,IL,60604,distinct
d-00808,John Rodriguez,1035 Ninth,Great Lakes,IL,60088,Richard Jackson,2769 Lake,Racine,WV,25165,distinct
d-00809,David Cooper,10345 Main,Bradenton Beach,FL,34217,Robert Long,12224 Fifth,Emory,VA,24327,distinct
d-00810,Joseph Smith,14296 Ninth,Monticello,MS,39654,David Cooper,7707 First,Saint Cloud,MN,56398,distinct
d-00811,Robert Bennet,8544 Fifth,Freeport,KS,67049,James Ross,7929 Ninth,Kansas City,KS,66104,distinct
d-00812,Elizabeth Stewart,12796 Fourth,Strafford,VT,05072,Linda Patel,16162 Main,Jensen Beach,FL,34958,distinct
d-00813,Richard Castillo,9787 Oak,Edgewood,NM,87015,Richard Perez,10365 Fifth,Martinsdale,MT,59053,distinct
d-00814,Linda Brown,5754 Pine,Isleton,CA,95641,Michael Mendoza,18438 First,Detroit,MI,48264,distinct
d-00815,Jessica Green,6786 Hill,Ridgeville Corners,OH,43555,William Robinson,10973 Evergreen,South Bend,IN,46660,distinct
d-00816,Mary Anderson,3309 Fourth,Aydlett,NC,27916,Karen Peterson,10225 Main,Powder Springs,GA,30127,distinct
d-00817,William Nguyen,8718 Cedar,Richmond,TX,77406,David Young,19077 Fifth,Okarche,OK,73762,distinct
d-00818,Robert Collins,10505 First,Atkinson,IL,61235,Barbara Williams,2412 Sixth,Clarksville,IA,50619,distinct
d-00819,Sarah Foster,2365 Maple,Trenton,NJ,08603,Jessica Baker,7276 Hill,Creston,CA,93432,distinct
d-00820,James Young,2010 Park,Springfield,MO,65814,Thomas Reed,12005 Seventh,Parachute,CO,81635,distinct
d-00821,William Clark,15855 Oak,Fayette,UT,84630,William Martinez,2497 Eighth,Port Elizabeth,NJ,08348,distinct
d-00822,William Nguyen,16283 Oak,New Derry,PA,15671,Robert Morgan,17155 First,Frisco,TX,75033,distinct
d-00823,Michael Scott,1486 Washington,Titus,AL,36080,Sarah Williams,3522 Pine,Egg Harbor,WI,54209,distinct
d-00824,James Roberts,19099 Lake,Glastonbury,CT,06033,David Hill,3194 Cedar,Fallentimber,PA,16639,distinct
d-00825,James Bennet,3389 Seventh,Danbury,NH,03230,Charles Collins,13666 Ninth,Bethel Springs,TN,38315,distinct
d-00826,James Scott,2286 First,Ackerly,TX,79713,David Cook,7557 Maple,Bradford,NY,14815,distinct
d-00827,Jennifer Howard,11243 First,D Hanis,TX,78850,Linda Parker,4767 Third,Shelburne,VT,05482,distinct
d-00828,Patricia Walker,19565 Lake,Troy,MT,59935,Barbara Taylor,19321 Cedar,Talbott,TN,37877,distinct
d-00829,Mary Castillo,8620 View,Normanna,TX,78142,Richard Wright,1126 Maple,Bonnieville,KY,42713,distinct
d-00830,William Garcia,16882 Second,Tuscarora,NV,89834,Karen Jones,2519 Seventh,Niobe,NY,14758,distinct
d-00831,David Collins,1991 Lake,Neptune Beach,FL,32266,James Cruz,9352 Fifth,Centreville,MS,39631,distinct
d-00832,Joseph Flores,17263 Main,Potterville,MI,48876,Jessica Martinez,8572 Evergreen,Jenkins,KY,41537,distinct
d-00833,Linda Lopez,10352 Pine,University Center,MI,48710,Sarah Ramirez,16276 Second,Burbank,OH,44214,distinct
d-00834,James Sanders,2610 Third,Palmer,IA,50571,Karen Miller,11574 Third,Elyria,OH,44035,distinct
d-00835,Joseph Robinson,7728 Ninth,Toledo,OH,43657,Charles Johnson,3660 Pine,Claysville,PA,15323,distinct
d-00836,Karen Martinez,18769 First,Mize,MS,39116,Barbara Martin,17930 Third,Westport,TN,38387,distinct
d-00837,Thomas Morris,16852 Fourth,Rowland Heights,CA,91748,Elizabeth Richardson,5212 Second,Malibu,CA,90264,distinct
d-00838,Elizabeth King,17876 Ninth,Elmira,NY,14905,William Brown,8043 Seventh,Murfreesboro,TN,37130,distinct
d-00839,Charles Wilson,7834 Cedar,Felton,CA,95018,Susan Alvarez,10874 Hill,Glen Ridge,NJ,07028,distinct
d-00840,Mary Jackson,10548 Maple,Braggadocio,MO,63826,Jessica Bailey,18630 Elm,McMechen,WV,26040,distinct
d-00841,Patricia Reed,13363 Maple,Flagstaff,AZ,86001,Karen Lee,6687 Fifth,Savona,NY,14879,distinct
d-00842,John Clark,9062 Maple,Fleming Island,FL,32003,Jessica Phillips,17730 Main,Middle Island,NY,11953,distinct
d-00843,Patricia Green,7347 Cedar,Waterbury,CT,06725,Charles Kelly,3275 Park,Burgoon,OH,43407,distinct
d-00844,David Ortiz,18823 Seventh,Clarkdale,AZ,86324,Jennifer Ruiz,6159 Fifth,Kenilworth,IL,60043,distinct
d-00845,Sarah Anderson,4717 View,Only,TN,37140,David Ramirez,7506 Fourth,Star,ID,83669,distinct
d-00846,David Johnson,4813 Ninth,Memphis,TN,38152,Linda Turner,8651 Evergreen,Unity,WI,54488,distinct
d-00847,Charles Morgan,3627 View,North Fairfield,OH,44855,Karen Reed,3071 Elm,Wayne,ME,04284,distinct
d-00848,James Thomas,14964 Eighth,Chicago,IL,60699,Sarah Mendoza,13683 Second,Colebrook,CT,06021,distinct
d-00849,David Lewis,12882 Main,Saint Joe,AR,72675,Patricia Wright,14264 Fifth,Grand Saline,TX,75140,distinct
d-00850,William Nelson,7455 Fourth,Tippecanoe,OH,44699,Jessica Kelly,17252 Fourth,Canaan,IN,47224,distinct
d-00851,Sarah Price,120 Pine,Denver,CO,80291,Michael Thomas,18691 Oak,Derry,NM,87933,distinct
d-00852,John Wilson,123 Third,Byron,CA,94514,Patricia Sanders,2891 Eighth,Mount Calm,TX,76673,distinct
d-00853,Karen Gray,7696 Evergreen,Tampa,FL,33662,David White,9250 Washington,Moriah,NY,12960,distinct
d-00854,Susan Williams,6000 Eighth,Deland,FL,32724,Jessica Bailey,10499 Evergreen,Balaton,MN,56115,distinct
d-00855,Karen Walker,18803 Cedar,White Castle,LA,70788,Charles Evans,15147 Fifth,Milwaukee,WI,53226,distinct
d-00856,David Clark,18064 Pine,Modoc,IN,47358,Jessica White,3881 Fourth,Lowell,IN,46356,distinct
d-00857,John Kelly,7714 Eighth,Waldron,MI,49288,William Sanders,17384 Hill,New Orleans,LA,70124,distinct
d-00858,Barbara Martinez,9506 Fifth,Lees Summit,MO,64064,Richard Hernandez,16403 Hill,Salem,MO,65560,distinct
d-00859,Joseph Hernandez,6574 View,Argos,IN,46501,David Johnson,18756 Oak,East Butler,PA,16029,distinct
d-00860,James Bennet,1938 Maple,Hyattsville,MD,20785,Charles Bailey,15517 Maple,Hancock,WI,54943,distinct
d-00861,Joseph Ortiz,13076 View,Liberty,MS,39645,Barbara Perez,14335 View,Monetta,SC,29105,distinct
d-00862,Robert Thompson,19755 Third,Malvern,AL,36349,Patricia Ross,2120 View,Hanford,CA,93230,distinct
d-00863,Robert Patel,10593 Evergreen,Offerman,GA,31556,Richard Lopez,2030 Fourth,Kit Carson,CA,95644,distinct
d-00864,Linda Reyes,10595 Ninth,Grenloch,NJ,08032,Robert Miller,7113 Maple,Memphis,TN,38134,distinct
d-00865,Joseph Campbell,18342 Hill,Newberry,SC,29108,Barbara Robinson,1914 Oak,Worthington,MN,56187,distinct
d-00866,Linda James,6108 Fifth,Paramus,NJ,07653,Barbara Hall,6857 First,San Antonio,TX,78270,distinct
d-00867,Jessica Walker,7142 Main,North Ridgeville,OH,44039,Jennifer Morales,18725 Eighth,Jefferson,IA,50129,distinct
d-00868,Charles Lopez,14858 Washington,Upson,WI,54565,Sarah Mitchell,18558 Third,Cumberland,MD,21504,distinct
d-00869,Barbara Lewis,17032 Fifth,Allensville,KY,42204,James Green,18123 Pine,West Palm Beach,FL,33416,distinct
d-00870,Karen Ortiz,12679 Sixth,Dacono,CO,80514,David Roberts,3927 Washington,East Sandwich,MA,02537,distinct
d-00871,Susan Martinez,18241 Eighth,Summitville,TN,37382,Richard Garcia,15832 Fifth,Los Angeles,CA,90050,distinct
d-00872,Karen White,11502 Third,Tampa,FL,33623,Joseph Nguyen,17089 Eighth,Chaseley,ND,58423,distinct
d-00873,Elizabeth Morales,15340 Oak,Barstow,TX,79719,Linda Anderson,17025 Fourth,Leesburg,TX,75451,distinct
d-00874,David Hughes,17276 Elm,Clifton,SC,29324,William Reyes,13192 Evergreen,Evanston,IN,47531,distinct
d-00875,John Adams,10914 Cedar,Sparks,NV,89435,Robert Lewis,795 Main,Rockford,AL,35136,distinct
d-00876,James Parker,19197 Hill,Red Lion,PA,17356,Richard Cooper,12464 Maple,Camden,NJ,08101,distinct
d-00877,Robert Taylor,14252 Seventh,Oakland,CA,94622,John Mendoza,18148 Evergreen,Lakeview,MI,48850,distinct
d-00878,Michael Morris,12025 Third,Jacksonville,FL,32203,James Alvarez,12452 Elm,New Orleans,LA,70129,distinct
d-00879,Charles Ramirez,4577 Fourth,Stidham,OK,74461,Michael Davis,8406 Evergreen,Petrolia,TX,76377,distinct
d-00880,Joseph Davis,18106 Second,Medford,MN,55049,Karen Young,681 Sixth,East Concord,NY,14055,distinct
d-00881,Richard Cox,14113 Oak,El Paso,TX,88566,Karen Price,10033 First,Liverpool,NY,13088,distinct
d-00882,Mary Howard,7019 Oak,Thurston,NE,68062,Charles Rogers,19854 Lake,Herndon,PA,17830,distinct
d-00883,John Edwards,7530 First,Tumbling Shoals,AR,72581,Charles Hall,10293 Eighth,El Dorado,AR,71730,distinct
d-00884,Michael Morgan,14080 Park,Blair,OK,73526,Michael Harris,17331 Washington,Collinsville,VA,24078,distinct
d-00885,Susan Taylor,11271 Pine,Monroe Township,NJ,08831,Elizabeth Price,5124 First,Westby,WI,54667,distinct
d-00886,Jennifer Morgan,14690 Second,Jesup,IA,50648,Susan Carter,512 Lake,Saint Paul,MN,55118,distinct
d-00887,Mary Morgan,6715 Fifth,Saint Louis,MO,63124,James Howard,14025 Park,Jacksonville,OH,45740,distinct
d-00888,Linda Sanders,12670 Lake,Leachville,AR,72438,Patricia Green,5236 Evergreen,Hawkins,WI,54530,distinct
d-00889,Jessica Bailey,2393 Park,Las Vegas,NV,89132,Susan Jones,2938 Second,Kokomo,IN,46903,distinct
d-00890,Linda Scott,15934 Oak,Lochmere,NH,03252,Joseph Ortiz,18783 Washington,Higginson,AR,72068,distinct
d-00891,Robert Lee,2542 Elm,Bonner,MT,59823,Linda Scott,6522 First,Richfield,KS,67953,distinct
d-00892,Charles Stewart,8246 Ninth,Nesmith,SC,29580,Sarah Brown,4586 Seventh,Dayton,VA,22821,distinct
d-00893,Thomas Flores,17913 Sixth,Selfridge,ND,58568,John Allen,4339 Oak,Texico,NM,88135,distinct
d-00894,Joseph Peterson,13413 Second,Fayetteville,GA,30215,Mary Ortiz,9783 First,Angier,NC,27501,distinct
d-00895,William Morris,13536 Eighth,Raceland,LA,70394,William Rivera,11540 Seventh,Christiana,TN,37037,distinct
d-00896,Joseph Reed,13139 First,Echo,MN,56237,John Davis,11533 Main,Bishop,GA,30621,distinct
d-00897,James Mendoza,13923 Third,Belleville,IL,62222,John Campbell,10406 Fourth,Sandersville,GA,31082,distinct
d-00898,John Watson,14388 Lake,Clam Lake,WI,54517,Elizabeth Chavez,4824 Oak,Seaside Heights,NJ,08751,distinct
d-00899,James Brooks,19018 Park,Crystal,MI,48818,Jennifer Mitchell,19518 Park,Calistoga,CA,94515,distinct
d-00900,Thomas Turner,3564 Third,Houma,LA,70361,William Diaz,16338 View,Bowling Green,KY,42128,distinct
d-00901,Thomas James,18019 Pine,Mont Alto,PA,17237,William Martin,17168 Sixth,Lowmansville,KY,41232,distinct
d-00902,Linda Clark,11680 Elm,Delta,PA,17314,Robert Thompson,16478 Fifth,Mariposa,CA,95338,distinct
d-00903,David Martinez,9003 View,Pea Ridge,AR,72751,Joseph Johnson,16349 Fifth,Helena,OK,73741,distinct
d-00904,Mary Parker,18611 Maple,Erie,PA,16531,Barbara Gutierrez,11096 Eighth,Rose,OK,74364,distinct
d-00905,James Hall,17176 Third,Washburn,WI,54891,John Jackson,11923 Sixth,Westerly,RI,02891,distinct
d-00906,Thomas Castillo,11707 Sixth,Errol,NH,03579,Susan Miller,13870 Third,Pasadena,TX,77508,distinct
d-00907,Elizabeth Cooper,10814 Evergreen,Stanton,MO,63079,Thomas Rogers,6675 Oak,Howard Lake,MN,55575,distinct
d-00908,Mary Bailey,5262 Lake,Atlanta,GA,30356,Elizabeth Gutierrez,13793 Oak,Stillwater,OH,44679,distinct
d-00909,Jessica Walker,5203 Sixth,Scranton,KS,66537,John Adams,3012 Oak,Watchung,NJ,07069,distinct
d-00910,Richard Flores,16861 Eighth,Reliance,TN,37369,Patricia Wright,15635 Hill,Tarrytown,NY,10591,distinct
d-00911,Elizabeth Harris,18123 Maple,Tracy City,TN,37387,Linda Ross,8292 Pine,Grannis,AR,71944,distinct
d-00912,James Robinson,1635 Second,Heavener,OK,74937,Robert Parker,1223 First,Fredericksburg,VA,22406,distinct
d-00913,Susan Watson,4475 Eighth,Providence,RI,02903,Elizabeth Green,17190 Park,Herscher,IL,60941,distinct
d-00914,Susan Cruz,14327 Second,New England,ND,58647,Robert Campbell,1843 Pine,Center Conway,NH,03813,distinct
d-00915,Elizabeth Taylor,12111 Ninth,Vernon Hills,IL,60061,Robert Parker,15676 Pine,Naoma,WV,25140,distinct
d-00916,Thomas Diaz,7209 Cedar,Sparks,NV,89435,Patricia Davis,16633 Third,Courtland,VA,23837,distinct
d-00917,Jessica Phillips,8327 View,Truesdale,MO,63380,Elizabeth Collins,10056 Eighth,Centerville,SD,57014,distinct
d-00918,David Kim,16954 Evergreen,Chico,CA,95926,David Rogers,12262 First,Weed,NM,88354,distinct
d-00919,Barbara Ruiz,5296 Fifth,Decatur,AL,35699,James Howard,13883 Elm,Omaha,NE,68119,distinct
d-00920,Mary Morris,367 Pine,Five Points,TN,38457,Joseph Richardson,6192 Sixth,Delbarton,WV,25670,distinct
d-00921,Charles Murphy,15758 Maple,Camp Hill,PA,17011,Joseph Davis,10599 Washington,Mount Juliet,TN,37121,distinct
d-00922,Mary Nguyen,15501 Ninth,El Monte,CA,91732,Sarah Ramirez,5372 Pine,Homeland,FL,33847,distinct
d-00923,Linda Phillips,4763 Seventh,Stanley,WI,54768,John Davis,8035 Main,Peotone,IL,60468,distinct
d-00924,Thomas Wilson,18401 Cedar,Allegany,NY,14706,Thomas Myers,5360 Cedar,Attica,NY,14011,distinct
d-00925,Linda Brown,12459 Eighth,Wells,TX,75976,Charles Miller,9159 Oak,Middle Amana,IA,52307,distinct
d-00926,Sarah Cox,2039 Park,Knoxville,TN,37912,Michael Phillips,7089 Seventh,Dallas,TX,75358,distinct
d-00927,Robert Alvarez,2405 Washington,Northridge,CA,91330,Thomas Lopez,15360 Sixth,Farmington,WV,26571,distinct
d-00928,Elizabeth Mitchell,14609 Evergreen,Cambridge,ID,83610,Joseph Wright,17957 Cedar,Corpus Christi,TX,78467,distinct
d-00929,Jessica Sanchez,2799 Second,Muddy,IL,62965,Jennifer Gray,5471 Ninth,Jackson,MS,39225,distinct
d-00930,John Ward,9632 Ninth,Ragsdale,IN,47573,Barbara Morgan,3112 Park,Clever,MO,65631,distinct
d-00931,Elizabeth Jones,13212 Elm,North Little Rock,AR,72114,Robert Brooks,4375 Cedar,Lyme Center,NH,03769,distinct
d-00932,Linda Brown,266 Cedar,Lenoir,NC,28645,Barbara Peterson,12892 Hill,Old Bridge,NJ,08857,distinct
d-00933,Patricia Parker,148 Ninth,Anasco,PR,00610,Robert Bennet,8738 Elm,Elba,AL,36323,distinct
d-00934,Sarah Gutierrez,12636 Seventh,Nortonville,KY,42442,Barbara Evans,19675 Cedar,Albertville,MN,55301,distinct
d-00935,James Sanchez,1550 Washington,China Grove,NC,28023,William Jones,19370 Washington,Fairbank,PA,15435,distinct
d-00936,James Peterson,2056 Pine,Corsicana,TX,75110,Barbara Rogers,10768 Eighth,Hendersonville,PA,15339,distinct
d-00937,Robert Roberts,11944 Hill,Blue Gap,AZ,86520,Charles Kim,12587 Second,Steele City,NE,68440,distinct
d-00938,Robert Turner,19679 Oak,Old Saybrook,CT,06475,Charles Lopez,9893 Ninth,Lykens,PA,17048,distinct
d-00939,Patricia Perez,19889 Washington,Alexander,KS,67513,Charles Chavez,6363 View,Rocky Hill,CT,06067,distinct
d-00940,Jessica Phillips,11316 First,Melvin,TX,76858,Jennifer Nelson,13971 Third,Tyler,TX,75708,distinct
d-00941,Jennifer Brown,12227 Second,Fallon,NV,89407,Linda Cook,1823 Park,Winston Salem,NC,27110,distinct
d-00942,Richard Martinez,8708 Lake,Harwood,ND,58042,Patricia Martin,924 Eighth,Moscow,AR,71659,distinct
d-00943,Robert Ramos,12871 Lake,McFall,MO,64657,Patricia Nguyen,13229 Seventh,Peachtree Corners,GA,30092,distinct
d-00944,Charles Reyes,6484 Pine,Jersey City,NJ,07308,Michael Campbell,1890 Washington,Palatine,IL,60055,distinct
d-00945,Mary Watson,19096 View,Lafayette,LA,70504,William Wilson,264 Fifth,Indianapolis,IN,46227,distinct
d-00946,William Green,16911 Washington,Victorville,CA,92393,Jessica Wilson,1752 Oak,Woodstock,VA,22664,distinct
d-00947,Mary Brooks,102 Evergreen,Minden,WV,25879,Thomas Sanchez,849 Oak,Alvin,IL,61811,distinct
d-00948,Richard Howard,9602 Sixth,Detroit Lakes,MN,56501,William White,6156 Fifth,Lynbrook,NY,11563,distinct
d-00949,Richard Lewis,2610 Fourth,DPO,NY,09707,Mary Garcia,16588 View,Phoenix,AZ,85043,distinct
d-00950,William Allen,9142 Evergreen,Vienna,IL,62995,Linda Sanders,16058 Fifth,Simpsonville,SC,29680,distinct
d-00951,Sarah Martin,2051 Seventh,La Plata,NM,87418,Elizabeth Lopez,504 Sixth,Newport News,VA,23612,distinct
d-00952,Jessica Gutierrez,7430 Eighth,Sand Springs,MT,59077,Jessica Adams,6532 Evergreen,Barnesville,GA,30204,distinct
d-00953,Jessica Walker,2266 Ninth,Norco,LA,70079,Karen Smith,16359 Cedar,Sharon,SC,29742,distinct
d-00954,William Reyes,15756 Park,Forest Hill,MD,21050,Linda Peterson,8461 Maple,Sacramento,CA,95836,distinct
d-00955,Elizabeth Evans,14056 Hill,Vandiver,AL,35176,Susan Hernandez,12700 Cedar,Plainwell,MI,49080,distinct
d-00956,Joseph Flores,10127 Pine,Big Run,WV,26561,Thomas Murphy,15517 Evergreen,Columbus,OH,43085,distinct
d-00957,Thomas Bennet,13101 Eighth,Overland Park,KS,66210,David Rogers,17026 Park,Biggsville,IL,61418,distinct
d-00958,Susan Roberts,1406 Maple,Felda,FL,33930,Linda Williams,16141 Seventh,Sun Valley,CA,91352,distinct
d-00959,Patricia Martin,1756 Second,Boston,MA,02196,James Rivera,16052 Ninth,Copiague,NY,11726,distinct
d-00960,Linda Collins,1768 Pine,Tucson,AZ,85702,Michael Stewart,8654 Third,Garland,ME,04939,distinct
d-00961,Jennifer Castillo,1814 Pine,Lancaster,NH,03584,Susan Howard,12054 Third,Slate Run,PA,17769,distinct
d-00962,Charles Lewis,14982 Park,Robbinston,ME,04671,Susan Roberts,6736 View,Mineral Point,PA,15942,distinct
d-00963,Richard Ortiz,6104 Third,Walker,KY,40997,Mary Scott,11273 View,Vincent,AL,35178,distinct
d-00964,Richard Gray,3729 View,Sturkie,AR,72578,William Robinson,18382 Pine,Elmo,MO,64445,distinct
d-00965,William Sanders,8243 Elm,Toledo,OH,43656,Mary Taylor,6779 Elm,Port Aransas,TX,78373,distinct
d-00966,Karen Murphy,5993 View,Bolingbroke,GA,31004,Karen Allen,14611 Seventh,Melbourne,FL,32919,distinct
d-00967,David Young,12277 Elm,Aragon,NM,87820,Jessica Morales,4728 Elm,Craddockville,VA,23341,distinct
d-00968,Jennifer Rogers,16372 Third,El Paso,TX,88517,Barbara Davis,16335 Fifth,Kincheloe,MI,49786,distinct
d-00969,Barbara Morales,10729 Maple,Saunderstown,RI,02874,Joseph Taylor,13709 Lake,Floydada,TX,79235,distinct
d-00970,Charles Jackson,17486 Fourth,Arispe,IA,50831,Richard Roberts,12952 Main,Pittsburgh,PA,15289,distinct
d-00971,James Nelson,10629 Maple,Long Lake,WI,54542,David Chavez,5736 Hill,Clayton,TX,75637,distinct
d-00972,Charles Ward,6854 Evergreen,Norwalk,CT,06851,Susan Foster,7767 Oak,Omaha,NE,68110,distinct
d-00973,Jessica Bennet,8038 Seventh,Charlotte Court House,VA,23923,John Jackson,11187 Second,McHenry,KY,42354,distinct
d-00974,Sarah Green,13671 Oak,Davenport,ND,58021,Thomas Anderson,10598 Fifth,Leisenring,PA,15455,distinct
d-00975,David Patel,17796 Hill,Sardinia,OH,45171,John Hall,1905 Third,Dodson,MT,59524,distinct
d-00976,Jessica Williams,18954 Ninth,Crossville,TN,38558,Jessica Long,10342 Elm,Munson,PA,16860,distinct
d-00977,Thomas Alvarez,4710 Elm,Claremont,NH,03743,Elizabeth Cooper,16034 Fifth,Bouckville,NY,13310,distinct
d-00978,John Lewis,8462 Elm,Burlington,KY,41005,Linda Phillips,8990 Lake,Tumbling Shoals,AR,72581,distinct
d-00979,William Chavez,13665 Hill,Malaga,OH,43757,James Rodriguez,6367 Maple,Coahoma,MS,38617,distinct
d-00980,Joseph Allen,13506 Third,New Bethlehem,PA,16242,Karen Scott,14836 Third,Georgetown,FL,32139,distinct
d-00981,Joseph Miller,6142 Seventh,Fort Morgan,CO,80701,Mary Mendoza,15458 Seventh,Fairview,KS,66425,distinct
d-00982,James Scott,3127 Seventh,Thompsonville,NY,12784,Patricia Roberts,14180 Main,Newburg,WI,53060,distinct
d-00983,Michael Price,18566 Main,Lodi,NY,14860,Mary King,3407 Eighth,Winter Park,CO,80482,distinct
d-00984,Jessica Taylor,4856 Seventh,Worthington,MA,01098,John Miller,2042 Pine,Valley Park,MS,39177,distinct
d-00985,Richard Hall,15541 Main,Kensal,ND,58455,Barbara Hill,19035 Ninth,Kansas City,MO,64195,distinct
d-00986,Charles Gonzales,14799 First,North Myrtle Beach,SC,29582,Richard Phillips,889 Ninth,Maple Hill,NC,28454,distinct
d-00987,Joseph Williams,19296 Seventh,Middlebury Center,PA,16935,John Reyes,12082 Oak,APO,NY,09852,distinct
d-00988,Joseph Hughes,14210 Elm,Robesonia,PA,19551,Linda Clark,2840 Fourth,Tuscarawas,OH,44682,distinct
d-00989,James Evans,15559 Eighth,Los Molinos,CA,96055,Joseph Taylor,7936 Main,Hodges,SC,29695,distinct
d-00990,Barbara Robinson,3055 Evergreen,Dittmer,MO,63023,James Carter,3390 Sixth,Lincoln,NE,68507,distinct
d-00991,William Rivera,16380 View,Providence,RI,02905,Barbara Davis,1890 Second,Hollister,MO,65673,distinct
d-00992,James Cook,4521 Maple,Chapel Hill,NC,27515,Mary Bailey,276 Second,East Lansing,MI,48826,distinct
d-00993,John Ward,16995 Oak,Harrell,AR,71745,Charles Castillo,6562 Fourth,Willard,MO,65781,distinct
d-00994,Joseph Taylor,14209 First,Huffman,TX,77336,Joseph Bailey,2208 Washington,Dike,IA,50624,distinct
d-00995,David Myers,8885 Park,Thompsonville,NY,12784,Barbara Foster,5305 Eighth,Rudolph,WI,54475,distinct
d-00996,Richard Scott,9121 Elm,Chaseley,ND,58423,Thomas Wright,15727 Ninth,Portsmouth,NH,03803,distinct
d-00997,Susan Long,9274 Seventh,Upperville,VA,20185,Susan Kelly,9194 Fifth,Monroe,LA,71211,distinct
d-00998,Michael Alvarez,312 Oak,Wingate,TX,79566,Thomas Hughes,8452 Sixth,Cumberland Gap,TN,37724,distinct
d-00999,Karen Myers,8442 Maple,Compton,CA,90220,James Perez,19691 Fourth,Kempton,IL,60946,distinct
d-01000,Mary Jones,3121 Elm,Brasstown,NC,28902,Joseph Reyes,18858 Lake,Gainesville,FL,32605,distinct
d-01001,James Stewart,15845 Evergreen,Thayer,MO,65791,Patricia Collins,8085 Ninth,Pittsfield,PA,16340,distinct
d-01002,David Ross,10912 Evergreen,Lawrence,MA,01840,David Reyes,10888 Pine,Meridian,ID,83642,distinct
d-01003,Patricia Murphy,18061 Oak,Highlands,NJ,07732,Karen Cooper,2145 Third,East Canton,OH,44730,distinct
d-01004,Robert Carter,10507 Main,Pensacola,FL,32508,Mary Castillo,6048 Eighth,Bradford,AR,72020,distinct
d-01005,Charles Kim,12048 Fourth,North Carver,MA,02355,Mary Gomez,7207 Evergreen,Blacksburg,VA,24063,distinct
d-01006,Thomas Murphy,17897 Maple,Kansas City,MO,64137,Susan Miller,6300 Evergreen,Ashburn,VA,20146,distinct
d-01007,David Hall,3217 Fifth,Aspinwall,IA,51432,Michael Roberts,13930 Hill,East Wallingford,VT,05742,distinct
d-01008,Charles Baker,4706 Oak,Pauls Valley,OK,73075,Susan Flores,1483 View,Nashville,TN,37207,distinct
d-01009,Michael Davis,14064 Oak,Castle Point,NY,12511,Robert Chavez,9990 Hill,Lompoc,CA,93436,distinct
d-01010,Jessica Anderson,3669 Seventh,Fort Lauderdale,FL,33309,Jessica Chavez,6713 Sixth,Lake Nebagamon,WI,54849,distinct
d-01011,John Hill,14568 Lake,Winston Salem,NC,27106,Susan Ruiz,504 Oak,Frankfort,NY,13340,distinct
d-01012,William Alvarez,14051 Park,Pico Rivera,CA,90662,Jennifer Edwards,19385 Evergreen,Lawrence,MA,01841,distinct
d-01013,Sarah Moore,18122 Maple,Lexington,MA,02420,James Diaz,6155 Washington,Martinsville,MO,64467,distinct
d-01014,Mary Thomas,10278 Cedar,Adkins,TX,78101,Karen Collins,8805 Ninth,Marianna,AR,72360,distinct
d-01015,Jessica Jackson,5362 Main,Peralta,NM,87042,John Alvarez,2704 Seventh,Americus,GA,31709,distinct
d-01016,Jennifer Clark,12310 Elm,Brooksville,FL,34613,Barbara Chavez,12638 Maple,Riverdale,NJ,07457,distinct
d-01017,Mary Long,8267 Park,Camp Meeker,CA,95419,Karen Sanchez,1331 Pine,Mazon,IL,60444,distinct
d-01018,Thomas Adams,8928 Cedar,Lochgelly,WV,25866,James Hernandez,10177 Washington,Pearl,MS,39288,distinct
d-01019,William Cooper,19290 First,Atascadero,CA,93423,Susan Gonzales,18664 Fifth,Beaverdam,VA,23015,distinct
d-01020,William Clark,8484 Washington,Louisville,KY,40299,Jennifer Robinson,15173 Second,Louvale,GA,31814,distinct
d-01021,John Rivera,312 Fifth,Davis,NC,28524,Karen Walker,17146 Pine,Aurora,IA,50607,distinct
d-01022,Robert Turner,4705 Eighth,Readsboro,VT,05350,Elizabeth Davis,2078 First,McPherson,KS,67460,distinct
